,posX,posY,posZ,dirX,dirY,dirZ,linX,linY,linZ,angX,angY,angZ
posX,0,-0.084040336,-0.009181364,0.002790434,0.376731452,0.001274605,0.00341844,0.398991151,-0.001185723,0.008907316,-0.02657691,-0.000485286
posY,-0.084040336,0,0.177789829,-0.667635163,-0.059566891,0.004311216,-0.71118693,0.000220805,-0.001206346,-0.071158414,0.114781001,-0.138911927
posZ,-0.009181364,0.177789829,0,0.010833069,0.000727217,0.01454857,0.004727906,0.009155066,0.01063711,0.150015975,-0.003027834,-0.011403656
dirX,0.002790434,-0.667635163,0.010833069,0,-0.005241121,-0.012492875,0.98185262,-0.005287729,-0.003959596,-0.009164524,0.024254512,-0.040871093
dirY,0.376731452,-0.059566891,0.000727217,-0.005241121,0,-0.004131449,-0.005966562,0.982326919,-0.004043008,-0.102479933,-0.044116918,-0.283156767
dirZ,0.001274605,0.004311216,0.01454857,-0.012492875,-0.004131449,0,-0.00461057,-0.004323268,0.973456939,-0.051535964,0.0306102,0.064884615
linX,0.00341844,-0.71118693,0.004727906,0.98185262,-0.005966562,-0.00461057,0,-0.00888807,-0.001251609,0.001914762,0.038681028,-0.040766431
linY,0.398991151,0.000220805,0.009155066,-0.005287729,0.982326919,-0.004323268,-0.00888807,0,-0.002789189,-0.117776875,-0.025710248,-0.283680231
linZ,-0.001185723,-0.001206346,0.01063711,-0.003959596,-0.004043008,0.973456939,-0.001251609,-0.002789189,0,-0.042237049,0.02159326,0.059922597
angX,0.008907316,-0.071158414,0.150015975,-0.009164524,-0.102479933,-0.051535964,0.001914762,-0.117776875,-0.042237049,0,-0.106832005,0.122616086
angY,-0.02657691,0.114781001,-0.003027834,0.024254512,-0.044116918,0.0306102,0.038681028,-0.025710248,0.02159326,-0.106832005,0,-0.088893915
angZ,-0.000485286,-0.138911927,-0.011403656,-0.040871093,-0.283156767,0.064884615,-0.040766431,-0.283680231,0.059922597,0.122616086,-0.088893915,0
,,,,,,,,,,,,
[p_value],,,,,,,,,,,,
,0,1.43E-25,0.254327685,0.729014984,0,0.874264781,0.671270896,0,0.882967106,0.268780579,0.00096638,0.951957502
,1.43E-25,0,1.12E-109,0,1.34E-13,0.592480573,0,0.978130156,0.880946692,9.10E-19,2.27E-46,2.79E-67
