,posX,posY,posZ,dirX,dirY,dirZ,linX,linY,linZ,angX,angY,angZ
posX,0,-8365916.076,-3060.664728,12.94076898,3143.886874,0.427813366,60845.95453,13595035.97,-1732.475225,18.98960464,-47.36659052,-6.598756001
posY,-8365916.076,0,62898.9449,-3285.908851,-527.555164,1.535700434,-13434310.73,7984.622545,-1870.610369,-160.9990289,217.1028705,-2004.619653
posZ,-3060.664728,62898.9449,0,0.178546213,0.021567998,0.017354408,299.0771805,1108.63681,55.23546427,1.136625303,-0.019178316,-0.551085973
dirX,12.94076898,-3285.908851,0.178546213,0,-0.002162468,-0.000207315,864.0534332,-8.907931748,-0.28603892,-0.000965983,0.002137228,-0.02747713
dirY,3143.886874,-527.555164,0.021567998,-0.002162468,0,-0.000123373,-9.448547583,2977.901739,-0.525563811,-0.019437712,-0.006995359,-0.342553731
dirZ,0.427813366,1.535700434,0.017354408,-0.000207315,-0.000123373,0,-0.293656254,-0.527120903,5.089572952,-0.000393152,0.000195216,0.003157092
linX,60845.95453,-13434310.73,299.0771805,864.0534332,-9.448547583,-0.293656254,0,-57468.58219,-347.0228734,0.774621768,13.08192191,-105.1896795
linY,13595035.97,7984.622545,1108.63681,-8.907931748,2977.901739,-0.527120903,-57468.58219,0,-1480.406232,-91.21124877,-16.6453599,-1401.241189
linZ,-1732.475225,-1870.610369,55.23546427,-0.28603892,-0.525563811,5.089572952,-347.0228734,-1480.406232,0,-1.402647332,0.599475849,12.69231953
angX,18.98960464,-160.9990289,1.136625303,-0.000965983,-0.019437712,-0.000393152,0.774621768,-91.21124877,-1.402647332,0,-0.004327532,0.037895118
angY,-47.36659052,217.1028705,-0.019178316,0.002137228,-0.006995359,0.000195216,13.08192191,-16.6453599,0.599475849,-0.004327532,0,-0.022967113
angZ,-6.598756001,-2004.619653,-0.551085973,-0.02747713,-0.342553731,0.003157092,-105.1896795,-1401.241189,12.69231953,0.037895118,-0.022967113,0
